localidade,coluna_idx,valor
Minas Gerais,4,98.83
Minas Gerais,5,94.13
Minas Gerais,6,98.95
Minas Gerais,7,86.08
Minas Gerais,8,79.51
Minas Gerais,9,86.29
Minas Gerais,10,26.42
Minas Gerais,11,26.08
Minas Gerais,12,26.43
Minas Gerais,13,5.34
Minas Gerais,14,3.87
Minas Gerais,15,5.49
Minas Gerais,16,22.33
Minas Gerais,17,10.68
Minas Gerais,18,23.16
Minas Gerais,19,98.74
Minas Gerais,20,94.04
Minas Gerais,21,98.87
Minas Gerais,22,85.26
Minas Gerais,23,78.78
Minas Gerais,24,85.46
Minas Gerais,25,23.97
Minas Gerais,26,24.83
Minas Gerais,27,23.94
Minas Gerais,28,4.82
Minas Gerais,29,3.79
Minas Gerais,30,4.91
Minas Gerais,31,22.12
Minas Gerais,32,8.59
Minas Gerais,33,23.38
Minas Gerais,34,98.93
Minas Gerais,35,94.24
Minas Gerais,36,99.03
Minas Gerais,37,86.93
Minas Gerais,38,80.22
Minas Gerais,39,87.14
Minas Gerais,40,28.91
Minas Gerais,41,27.24
Minas Gerais,42,28.97
Minas Gerais,43,5.81
Minas Gerais,44,3.93
Minas Gerais,45,6.03
Espírito Santo,1,23.05
Espírito Santo,2,10.08
Espírito Santo,3,24.1
Espírito Santo,4,98.49
Espírito Santo,5,92.86
Espírito Santo,6,98.63
Espírito Santo,7,83.55
Espírito Santo,8,78.68
Espírito Santo,9,83.7
Espírito Santo,10,28.19
Espírito Santo,11,28.71
Espírito Santo,12,28.17
Espírito Santo,13,5.36
Espírito Santo,14,3.97
Espírito Santo,15,5.51
Espírito Santo,16,23.38
Espírito Santo,17,11.54
Espírito Santo,18,24.22
Espírito Santo,19,98.37
Espírito Santo,20,92.44
Espírito Santo,21,98.54
Espírito Santo,22,82.81
Espírito Santo,23,76.91
Espírito Santo,24,82.99
Espírito Santo,25,25.51
Espírito Santo,26,26.19
Espírito Santo,27,25.49
Espírito Santo,28,5.12
Espírito Santo,29,3.92
Espírito Santo,30,5.22
Espírito Santo,31,22.74
Espírito Santo,32,8.97
Espírito Santo,33,23.99
Espírito Santo,34,98.61
Espírito Santo,35,93.47
Espírito Santo,36,98.72
Espírito Santo,37,84.32
Espírito Santo,38,80.46
Espírito Santo,39,84.44
Espírito Santo,40,30.91
Espírito Santo,41,31.13
Espírito Santo,42,30.9
Espírito Santo,43,5.59
Espírito Santo,44,4.0
Espírito Santo,45,5.77
Rio de Janeiro,1,23.34
Rio de Janeiro,2,11.49
Rio de Janeiro,3,24.32
Rio de Janeiro,4,98.25
Rio de Janeiro,5,93.05
Rio de Janeiro,6,98.38
Rio de Janeiro,7,86.33
Rio de Janeiro,8,81.97
Rio de Janeiro,9,86.47
Rio de Janeiro,10,30.01
Rio de Janeiro,11,30.93
Rio de Janeiro,12,29.98
Rio de Janeiro,13,6.86
Rio de Janeiro,14,5.64
Rio de Janeiro,15,6.99
Rio de Janeiro,16,24.3
Rio de Janeiro,17,13.21
Rio de Janeiro,18,25.06
Rio de Janeiro,19,98.15
Rio de Janeiro,20,92.85
Rio de Janeiro,21,98.3
Rio de Janeiro,22,86.44
Rio de Janeiro,23,81.66
Rio de Janeiro,24,86.59
Rio de Janeiro,25,28.38
Rio de Janeiro,26,29.92
Rio de Janeiro,27,28.32
Rio de Janeiro,28,6.54
Rio de Janeiro,29,5.43
Rio de Janeiro,30,6.64
Rio de Janeiro,31,22.49
Rio de Janeiro,32,10.38
Rio de Janeiro,33,23.66
Rio de Janeiro,34,98.35
Rio de Janeiro,35,93.3
Rio de Janeiro,36,98.46
Rio de Janeiro,37,86.21
Rio de Janeiro,38,82.26
Rio de Janeiro,39,86.34
Rio de Janeiro,40,31.64
Rio de Janeiro,41,31.79
Rio de Janeiro,42,31.64
Rio de Janeiro,43,7.13
Rio de Janeiro,44,5.77
Rio de Janeiro,45,7.29
